# Generated by AstrophysicsAugmentationPipeline
# Export date: 2025-12-26T18:39:56.069046
#
P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED
0.333,0.03,0.091,0.394,0.09100000000000001,0.061000000000000006,0.515,0.184,0.647
0.308,0.115,0.192,0.308,0.077,0.0,0.615,0.108,0.8
0.529,0.147,0.029,0.147,0.11799999999999998,0.029,0.324,0.339,0.487
0.528,0.083,0.0,0.194,0.194,0.0,0.278,0.142,0.533
0.06099999999999999,0.0,0.0,0.9224599999999626,0.0,0.0,0.939,0.017,0.983
0.143,0.048,0.619,0.19,0.0,0.0,0.857,0.069,0.931
0.861,0.0,0.028,0.056,0.056,0.0,0.083,0.731,0.202
0.343,0.057,0.0,0.6,0.0,0.0,0.657,0.059,0.941
0.774,0.0,0.065,0.113,0.048,0.0,0.177,0.27,0.606
0.724,0.034,0.0,0.172,0.069,0.0,0.207,0.412,0.48
0.86,0.0,0.0,0.02,0.12,0.0,0.02,0.857,0.023
0.0,0.9329999999999999,0.0,0.033,0.0,0.0,1.0,0.0,1.0
0.818,0.0,0.0,0.091,0.09100000000000001,0.0,0.091,0.697,0.196
0.797,0.014,0.0,0.13,0.043,0.014,0.145,0.632,0.297
0.942,0.0,0.029,0.029,0.0,0.0,0.058,0.814,0.186
0.406,0.0,0.156,0.312,0.094,0.031,0.469,0.155,0.684
0.033,0.0,0.933,0.033,0.0,0.0,0.967,0.033,0.967
0.24,0.0,0.04,0.72,0.0,0.0,0.76,0.041,0.959
0.729,0.021,0.0,0.229,0.021,0.0,0.25,0.431,0.538
0.531,0.0,0.031,0.406,0.031,0.0,0.438,0.4,0.567
0.576,0.03,0.091,0.24200000000000002,0.061,0.0,0.364,0.22,0.686
0.438,0.312,0.0,0.062,0.188,0.0,0.375,0.313,0.484
0.711,0.053,0.0,0.211,0.026,0.0,0.263,0.699,0.275
0.545,0.061,0.0,0.333,0.061,0.0,0.394,0.524,0.416
0.6,0.057,0.029,0.2,0.114,0.0,0.286,0.547,0.337
0.394,0.182,0.03,0.24200000000000002,0.152,0.0,0.455,0.154,0.654
0.871,0.0,0.032,0.048,0.048,0.0,0.081,0.86,0.092
0.81,0.0,0.0,0.095,0.09500000000000001,0.0,0.095,0.671,0.214
0.269,0.173,0.019,0.5,0.038,0.0,0.692,0.077,0.878
0.625,0.0,0.031,0.219,0.125,0.0,0.25,0.413,0.431
0.118,0.676,0.029,0.11799999999999998,0.05899999999999999,0.0,0.824,0.018,0.918
0.59,0.049,0.016,0.18,0.164,0.0,0.246,0.566,0.269
0.852,0.0,0.0,0.074,0.074,0.0,0.074,0.62,0.256
0.607,0.0,0.0,0.179,0.21400000000000002,0.0,0.179,0.607,0.179
0.281,0.312,0.031,0.375,0.0,0.0,0.719,0.281,0.719
